,tweet
146,@HindianiTika @Kemhan_RI @prabowo Alutsista perlu dimodernisasi agar negara mampu menangkal berbagai ancaman
147,Sungguh sungguh bekerja untuk negara kami. Thanks bapak @prabowo  @Kemhan_R  prabowo bikin terobosan modernisasi senjata kita makin canggih makin kuat
148,@DudungKarisma @Kemhan_RI @prabowo Makin hebat pertahanan negara kita karna pak menhan nya juga hebat
149,"@LennyNurlianti @rahayuu1_ayu @Kinanti_mhrni @Kemhan_RI @prabowo Pemimpin visioner negara kuat. Berbenah dengan alutsista modern, keren pak"
150,@NobitaRidwan @Kemhan_RI @prabowo Keren pak maju terus pertahanan indonesia
151,@rahayuu1_ayu @Kinanti_mhrni @Kemhan_RI @prabowo Pemimpin keren alutsista keren
152,@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Tiongkok bukan musuh. Wong invest besar2an di Indonesia mosok jadi musuh. Ilang semua itu duit. Ada alasan mengapa anda mengira Tiongkok adalah musuh?
153,@HanipSinta @MarniNurliza @Kemhan_RI @prabowo Pemimpin cerdas negara kuat
154,@aryobimmo @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 kita ribut gk sama china? coba bandingin.
155,@_miomr__ @sigitwid @psi_id @rianernesto @prabowo @kokokdirgantoro @GunRomli @andrewenas @Uki23 Lah emang kita ribut sama Singapur? Masalah apa?
